"","country","country_code","regionname","nutslevel","nuts3","year","ideology","ideo01","num_parties","voteshare","nuts2"
"52","Austria","AT","Ausserfern",3,"AT331",2006,"farright",1,2,0.104402181141109,"AT33"
"53","Austria","AT","Ausserfern",3,"AT331",2006,"non_democ",0,5,0.831028062242319,"AT33"
"54","Austria","AT","Ausserfern",3,"AT331",2006,"non_democ",1,3,0.15547280223434,"AT33"
"55","Austria","AT","Ausserfern",3,"AT331",2006,"populist",1,3,0.15547280223434,"AT33"
"56","Austria","AT","Ausserfern",3,"AT331",2008,"eurosceptic",1,2,0.229454155167127,"AT33"
"57","Austria","AT","Ausserfern",3,"AT331",2008,"farright",1,2,0.229454155167127,"AT33"
"58","Austria","AT","Ausserfern",3,"AT331",2008,"non_democ",0,6,0.745170193192272,"AT33"
"59","Austria","AT","Ausserfern",3,"AT331",2008,"non_democ",1,2,0.229454155167127,"AT33"
"60","Austria","AT","Ausserfern",3,"AT331",2008,"populist",1,2,0.229454155167127,"AT33"
"61","Austria","AT","Ausserfern",3,"AT331",2013,"eurosceptic",1,3,0.251902690948627,"AT33"
"62","Austria","AT","Ausserfern",3,"AT331",2013,"farright",1,2,0.198899157379723,"AT33"
"63","Austria","AT","Ausserfern",3,"AT331",2013,"non_democ",0,6,0.733419407447676,"AT33"
"64","Austria","AT","Ausserfern",3,"AT331",2013,"non_democ",1,3,0.251902690948627,"AT33"
"65","Austria","AT","Ausserfern",3,"AT331",2013,"populist",1,3,0.251902690948627,"AT33"
"66","Austria","AT","Ausserfern",3,"AT331",2017,"eurosceptic",1,1,0.235887939788543,"AT33"
"67","Austria","AT","Ausserfern",3,"AT331",2017,"farright",1,1,0.235887939788543,"AT33"
"68","Austria","AT","Ausserfern",3,"AT331",2017,"non_democ",0,6,0.753479481512454,"AT33"
"69","Austria","AT","Ausserfern",3,"AT331",2017,"non_democ",1,1,0.235887939788543,"AT33"
"70","Austria","AT","Ausserfern",3,"AT331",2017,"populist",1,1,0.235887939788543,"AT33"
"71","Austria","AT","Ausserfern",3,"AT331",2019,"eurosceptic",1,1,0.128166063606932,"AT33"
"72","Austria","AT","Ausserfern",3,"AT331",2019,"farright",1,1,0.128166063606932,"AT33"
"73","Austria","AT","Ausserfern",3,"AT331",2019,"non_democ",0,5,0.863073700247572,"AT33"
"74","Austria","AT","Ausserfern",3,"AT331",2019,"non_democ",1,1,0.128166063606932,"AT33"
"75","Austria","AT","Ausserfern",3,"AT331",2019,"populist",1,1,0.128166063606932,"AT33"
"76","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1990,"eurosceptic",1,1,0.145568967295987,"AT34"
"77","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1990,"farright",1,1,0.145568967295987,"AT34"
"78","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1990,"non_democ",0,5,0.81896213762509,"AT34"
"79","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1990,"non_democ",1,1,0.145568967295987,"AT34"
"80","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1990,"populist",1,1,0.145568967295987,"AT34"
"81","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1994,"eurosceptic",1,1,0.21850848138111,"AT34"
"82","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1994,"farright",1,1,0.21850848138111,"AT34"
"83","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1994,"non_democ",0,5,0.769346582354712,"AT34"
"84","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1994,"non_democ",1,1,0.21850848138111,"AT34"
"85","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1994,"populist",1,1,0.21850848138111,"AT34"
"86","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1995,"eurosceptic",1,1,0.262951317358777,"AT34"
"87","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1995,"farright",1,1,0.262951317358777,"AT34"
"88","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1995,"non_democ",0,6,0.720893418627345,"AT34"
"89","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1995,"non_democ",1,1,0.262951317358777,"AT34"
"90","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",1995,"populist",1,1,0.262951317358777,"AT34"
"91","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2002,"eurosceptic",1,1,0.122441306708998,"AT34"
"92","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2002,"farright",1,1,0.122441306708998,"AT34"
"93","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2002,"non_democ",0,5,0.866363104687108,"AT34"
"94","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2002,"non_democ",1,1,0.122441306708998,"AT34"
"95","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2002,"populist",1,1,0.122441306708998,"AT34"
"96","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2006,"eurosceptic",1,3,0.202797202797203,"AT34"
"97","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2006,"farright",1,2,0.129595827900913,"AT34"
"98","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2006,"non_democ",0,5,0.78885859902809,"AT34"
"99","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2006,"non_democ",1,3,0.202797202797203,"AT34"
"100","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2006,"populist",1,3,0.202797202797203,"AT34"
"101","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2008,"eurosceptic",1,2,0.283519947308995,"AT34"
"102","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2008,"farright",1,2,0.283519947308995,"AT34"
"103","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2008,"non_democ",0,6,0.700907978923598,"AT34"
"104","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2008,"non_democ",1,2,0.283519947308995,"AT34"
"105","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2008,"populist",1,2,0.283519947308995,"AT34"
"106","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2013,"eurosceptic",1,3,0.268582778361958,"AT34"
"107","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2013,"farright",1,2,0.222712933753943,"AT34"
"108","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2013,"non_democ",0,6,0.718682089029092,"AT34"
"109","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2013,"non_democ",1,3,0.268582778361958,"AT34"
"110","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2013,"populist",1,3,0.268582778361958,"AT34"
"111","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2017,"eurosceptic",1,1,0.245263550745318,"AT34"
"112","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2017,"farright",1,1,0.245263550745318,"AT34"
"113","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2017,"non_democ",0,6,0.747711356501504,"AT34"
"114","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2017,"non_democ",1,1,0.245263550745318,"AT34"
"115","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2017,"populist",1,1,0.245263550745318,"AT34"
"116","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2019,"eurosceptic",1,1,0.147829733696792,"AT34"
"117","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2019,"farright",1,1,0.147829733696792,"AT34"
"118","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2019,"non_democ",0,5,0.843293492695883,"AT34"
"119","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2019,"non_democ",1,1,0.147829733696792,"AT34"
"120","Austria","AT","Bludenz-Bregenzer Wald",3,"AT341",2019,"populist",1,1,0.147829733696792,"AT34"
"121","Austria","AT","Graz",3,"AT221",1990,"eurosceptic",1,1,0.177483701049177,"AT22"
"122","Austria","AT","Graz",3,"AT221",1990,"farright",1,1,0.177483701049177,"AT22"
"123","Austria","AT","Graz",3,"AT221",1990,"non_democ",0,5,0.781140710677432,"AT22"
"124","Austria","AT","Graz",3,"AT221",1990,"non_democ",1,1,0.177483701049177,"AT22"
"125","Austria","AT","Graz",3,"AT221",1990,"populist",1,1,0.177483701049177,"AT22"
"126","Austria","AT","Graz",3,"AT221",1994,"eurosceptic",1,1,0.246447622873478,"AT22"
"127","Austria","AT","Graz",3,"AT221",1994,"farright",1,1,0.246447622873478,"AT22"
"128","Austria","AT","Graz",3,"AT221",1994,"non_democ",0,5,0.728669388365206,"AT22"
"129","Austria","AT","Graz",3,"AT221",1994,"non_democ",1,1,0.246447622873478,"AT22"
"130","Austria","AT","Graz",3,"AT221",1994,"populist",1,1,0.246447622873478,"AT22"
"131","Austria","AT","Graz",3,"AT221",1995,"eurosceptic",1,1,0.214152380349742,"AT22"
"132","Austria","AT","Graz",3,"AT221",1995,"farright",1,1,0.214152380349742,"AT22"
"133","Austria","AT","Graz",3,"AT221",1995,"non_democ",0,6,0.752482497096032,"AT22"
"134","Austria","AT","Graz",3,"AT221",1995,"non_democ",1,1,0.214152380349742,"AT22"
"135","Austria","AT","Graz",3,"AT221",1995,"populist",1,1,0.214152380349742,"AT22"
"136","Austria","AT","Graz",3,"AT221",2002,"eurosceptic",1,1,0.102300242130751,"AT22"
"137","Austria","AT","Graz",3,"AT221",2002,"farright",1,1,0.102300242130751,"AT22"
"138","Austria","AT","Graz",3,"AT221",2002,"non_democ",0,5,0.887250884708512,"AT22"
"139","Austria","AT","Graz",3,"AT221",2002,"non_democ",1,1,0.102300242130751,"AT22"
"140","Austria","AT","Graz",3,"AT221",2002,"populist",1,1,0.102300242130751,"AT22"
"141","Austria","AT","Graz",3,"AT221",2006,"eurosceptic",1,3,0.17067731358861,"AT22"
"142","Austria","AT","Graz",3,"AT221",2006,"farright",1,2,0.153328475921349,"AT22"
"143","Austria","AT","Graz",3,"AT221",2006,"non_democ",0,4,0.816837824798401,"AT22"
"144","Austria","AT","Graz",3,"AT221",2006,"non_democ",1,3,0.17067731358861,"AT22"
"145","Austria","AT","Graz",3,"AT221",2006,"populist",1,3,0.17067731358861,"AT22"
"146","Austria","AT","Graz",3,"AT221",2008,"eurosceptic",1,2,0.305503341173692,"AT22"
"147","Austria","AT","Graz",3,"AT221",2008,"farright",1,2,0.305503341173692,"AT22"
"148","Austria","AT","Graz",3,"AT221",2008,"non_democ",0,7,0.680994183700584,"AT22"
"149","Austria","AT","Graz",3,"AT221",2008,"non_democ",1,2,0.305503341173692,"AT22"
"150","Austria","AT","Graz",3,"AT221",2008,"populist",1,2,0.305503341173692,"AT22"
"151","Austria","AT","Graz",3,"AT221",2013,"eurosceptic",1,3,0.340191045665964,"AT22"
"152","Austria","AT","Graz",3,"AT221",2013,"farright",1,2,0.25556193640871,"AT22"
"153","Austria","AT","Graz",3,"AT221",2013,"non_democ",0,7,0.647766677041642,"AT22"
"154","Austria","AT","Graz",3,"AT221",2013,"non_democ",1,3,0.340191045665964,"AT22"
"155","Austria","AT","Graz",3,"AT221",2013,"populist",1,3,0.340191045665964,"AT22"
"156","Austria","AT","Graz",3,"AT221",2017,"eurosceptic",1,1,0.235520203068376,"AT22"
"157","Austria","AT","Graz",3,"AT221",2017,"farright",1,1,0.235520203068376,"AT22"
"158","Austria","AT","Graz",3,"AT221",2017,"non_democ",0,7,0.758421271093089,"AT22"
"159","Austria","AT","Graz",3,"AT221",2017,"non_democ",1,1,0.235520203068376,"AT22"
"160","Austria","AT","Graz",3,"AT221",2017,"populist",1,1,0.235520203068376,"AT22"
"161","Austria","AT","Graz",3,"AT221",2019,"eurosceptic",1,1,0.145025841151561,"AT22"
"162","Austria","AT","Graz",3,"AT221",2019,"farright",1,1,0.145025841151561,"AT22"
"163","Austria","AT","Graz",3,"AT221",2019,"non_democ",0,6,0.847572950264719,"AT22"
"164","Austria","AT","Graz",3,"AT221",2019,"non_democ",1,1,0.145025841151561,"AT22"
"165","Austria","AT","Graz",3,"AT221",2019,"populist",1,1,0.145025841151561,"AT22"
"166","Austria","AT","Innsbruck",3,"AT332",1990,"eurosceptic",1,1,0.166934518283274,"AT33"
"167","Austria","AT","Innsbruck",3,"AT332",1990,"farright",1,1,0.166934518283274,"AT33"
"168","Austria","AT","Innsbruck",3,"AT332",1990,"non_democ",0,5,0.78691390117876,"AT33"
"169","Austria","AT","Innsbruck",3,"AT332",1990,"non_democ",1,1,0.166934518283274,"AT33"
"170","Austria","AT","Innsbruck",3,"AT332",1990,"populist",1,1,0.166934518283274,"AT33"
"171","Austria","AT","Innsbruck",3,"AT332",1994,"eurosceptic",1,1,0.229941236297887,"AT33"
"172","Austria","AT","Innsbruck",3,"AT332",1994,"farright",1,1,0.229941236297887,"AT33"
"173","Austria","AT","Innsbruck",3,"AT332",1994,"non_democ",0,6,0.746468527517234,"AT33"
"174","Austria","AT","Innsbruck",3,"AT332",1994,"non_democ",1,1,0.229941236297887,"AT33"
"175","Austria","AT","Innsbruck",3,"AT332",1994,"populist",1,1,0.229941236297887,"AT33"
"176","Austria","AT","Innsbruck",3,"AT332",1995,"eurosceptic",1,1,0.258946812144335,"AT33"
"177","Austria","AT","Innsbruck",3,"AT332",1995,"farright",1,1,0.258946812144335,"AT33"
"178","Austria","AT","Innsbruck",3,"AT332",1995,"non_democ",0,6,0.713096212467857,"AT33"
"179","Austria","AT","Innsbruck",3,"AT332",1995,"non_democ",1,1,0.258946812144335,"AT33"
"180","Austria","AT","Innsbruck",3,"AT332",1995,"populist",1,1,0.258946812144335,"AT33"
"181","Austria","AT","Innsbruck",3,"AT332",2002,"eurosceptic",1,1,0.0954305212624519,"AT33"
"182","Austria","AT","Innsbruck",3,"AT332",2002,"farright",1,1,0.0954305212624519,"AT33"
"183","Austria","AT","Innsbruck",3,"AT332",2002,"non_democ",0,5,0.891614872255005,"AT33"
"184","Austria","AT","Innsbruck",3,"AT332",2002,"non_democ",1,1,0.0954305212624519,"AT33"
"185","Austria","AT","Innsbruck",3,"AT332",2002,"populist",1,1,0.0954305212624519,"AT33"
"186","Austria","AT","Innsbruck",3,"AT332",2006,"eurosceptic",1,3,0.189505179345013,"AT33"
"187","Austria","AT","Innsbruck",3,"AT332",2006,"farright",1,2,0.148169681156543,"AT33"
"188","Austria","AT","Innsbruck",3,"AT332",2006,"non_democ",0,5,0.798781914478769,"AT33"
"189","Austria","AT","Innsbruck",3,"AT332",2006,"non_democ",1,3,0.189505179345013,"AT33"
"190","Austria","AT","Innsbruck",3,"AT332",2006,"populist",1,3,0.189505179345013,"AT33"
"191","Austria","AT","Innsbruck",3,"AT332",2008,"eurosceptic",1,2,0.263216760723998,"AT33"
"192","Austria","AT","Innsbruck",3,"AT332",2008,"farright",1,2,0.263216760723998,"AT33"
"193","Austria","AT","Innsbruck",3,"AT332",2008,"non_democ",0,6,0.724304804234042,"AT33"
"194","Austria","AT","Innsbruck",3,"AT332",2008,"non_democ",1,2,0.263216760723998,"AT33"
"195","Austria","AT","Innsbruck",3,"AT332",2008,"populist",1,2,0.263216760723998,"AT33"
"196","Austria","AT","Innsbruck",3,"AT332",2013,"eurosceptic",1,3,0.260749063162817,"AT33"
"197","Austria","AT","Innsbruck",3,"AT332",2013,"farright",1,2,0.21166760406855,"AT33"
"198","Austria","AT","Innsbruck",3,"AT332",2013,"non_democ",0,6,0.726599399611035,"AT33"
"199","Austria","AT","Innsbruck",3,"AT332",2013,"non_democ",1,3,0.260749063162817,"AT33"
"200","Austria","AT","Innsbruck",3,"AT332",2013,"populist",1,3,0.260749063162817,"AT33"
"201","Austria","AT","Innsbruck",3,"AT332",2017,"eurosceptic",1,1,0.233942140892126,"AT33"
"202","Austria","AT","Innsbruck",3,"AT332",2017,"farright",1,1,0.233942140892126,"AT33"
"203","Austria","AT","Innsbruck",3,"AT332",2017,"non_democ",0,6,0.758558253362849,"AT33"
"204","Austria","AT","Innsbruck",3,"AT332",2017,"non_democ",1,1,0.233942140892126,"AT33"
"205","Austria","AT","Innsbruck",3,"AT332",2017,"populist",1,1,0.233942140892126,"AT33"
"206","Austria","AT","Innsbruck",3,"AT332",2019,"eurosceptic",1,1,0.142356460677673,"AT33"
"207","Austria","AT","Innsbruck",3,"AT332",2019,"farright",1,1,0.142356460677673,"AT33"
"208","Austria","AT","Innsbruck",3,"AT332",2019,"non_democ",0,5,0.850508818264886,"AT33"
"209","Austria","AT","Innsbruck",3,"AT332",2019,"non_democ",1,1,0.142356460677673,"AT33"
"210","Austria","AT","Innsbruck",3,"AT332",2019,"populist",1,1,0.142356460677673,"AT33"
"211","Austria","AT","Innviertel",3,"AT311",1990,"eurosceptic",1,1,0.185894044740024,"AT31"
"212","Austria","AT","Innviertel",3,"AT311",1990,"farright",1,1,0.185894044740024,"AT31"
"213","Austria","AT","Innviertel",3,"AT311",1990,"non_democ",0,5,0.78051314993954,"AT31"
"214","Austria","AT","Innviertel",3,"AT311",1990,"non_democ",1,1,0.185894044740024,"AT31"
"215","Austria","AT","Innviertel",3,"AT311",1990,"populist",1,1,0.185894044740024,"AT31"
"216","Austria","AT","Innviertel",3,"AT311",1994,"eurosceptic",1,1,0.264172451123989,"AT31"
"217","Austria","AT","Innviertel",3,"AT311",1994,"farright",1,1,0.264172451123989,"AT31"
"218","Austria","AT","Innviertel",3,"AT311",1994,"non_democ",0,5,0.713093039546583,"AT31"
"219","Austria","AT","Innviertel",3,"AT311",1994,"non_democ",1,1,0.264172451123989,"AT31"
"220","Austria","AT","Innviertel",3,"AT311",1994,"populist",1,1,0.264172451123989,"AT31"
"221","Austria","AT","Innviertel",3,"AT311",1995,"eurosceptic",1,1,0.261308803948156,"AT31"
"222","Austria","AT","Innviertel",3,"AT311",1995,"farright",1,1,0.261308803948156,"AT31"
"223","Austria","AT","Innviertel",3,"AT311",1995,"non_democ",0,6,0.712476026435054,"AT31"
"224","Austria","AT","Innviertel",3,"AT311",1995,"non_democ",1,1,0.261308803948156,"AT31"
"225","Austria","AT","Innviertel",3,"AT311",1995,"populist",1,1,0.261308803948156,"AT31"
"226","Austria","AT","Innviertel",3,"AT311",2002,"eurosceptic",1,1,0.132705667276051,"AT31"
"227","Austria","AT","Innviertel",3,"AT311",2002,"farright",1,1,0.132705667276051,"AT31"
"228","Austria","AT","Innviertel",3,"AT311",2002,"non_democ",0,4,0.847666057282145,"AT31"
"229","Austria","AT","Innviertel",3,"AT311",2002,"non_democ",1,1,0.132705667276051,"AT31"
"230","Austria","AT","Innviertel",3,"AT311",2002,"populist",1,1,0.132705667276051,"AT31"
"231","Austria","AT","Innviertel",3,"AT311",2006,"eurosceptic",1,3,0.205149682221,"AT31"
"232","Austria","AT","Innviertel",3,"AT311",2006,"farright",1,2,0.177681300272382,"AT31"
"233","Austria","AT","Innviertel",3,"AT311",2006,"non_democ",0,4,0.768181178787453,"AT31"
"234","Austria","AT","Innviertel",3,"AT311",2006,"non_democ",1,3,0.205149682221,"AT31"
"235","Austria","AT","Innviertel",3,"AT311",2006,"populist",1,3,0.205149682221,"AT31"
"236","Austria","AT","Innviertel",3,"AT311",2008,"eurosceptic",1,2,0.310009002373353,"AT31"
"237","Austria","AT","Innviertel",3,"AT311",2008,"farright",1,2,0.310009002373353,"AT31"
"238","Austria","AT","Innviertel",3,"AT311",2008,"non_democ",0,6,0.656046384256549,"AT31"
"239","Austria","AT","Innviertel",3,"AT311",2008,"non_democ",1,2,0.310009002373353,"AT31"
"240","Austria","AT","Innviertel",3,"AT311",2008,"populist",1,2,0.310009002373353,"AT31"
"241","Austria","AT","Innviertel",3,"AT311",2013,"eurosceptic",1,3,0.32877669668946,"AT31"
"242","Austria","AT","Innviertel",3,"AT311",2013,"farright",1,2,0.28314606741573,"AT31"
"243","Austria","AT","Innviertel",3,"AT311",2013,"non_democ",0,6,0.643190649757508,"AT31"
"244","Austria","AT","Innviertel",3,"AT311",2013,"non_democ",1,3,0.32877669668946,"AT31"
"245","Austria","AT","Innviertel",3,"AT311",2013,"populist",1,3,0.32877669668946,"AT31"
"246","Austria","AT","Innviertel",3,"AT311",2017,"eurosceptic",1,1,0.311663892660149,"AT31"
"247","Austria","AT","Innviertel",3,"AT311",2017,"farright",1,1,0.311663892660149,"AT31"
"248","Austria","AT","Innviertel",3,"AT311",2017,"non_democ",0,6,0.675605973676288,"AT31"
"249","Austria","AT","Innviertel",3,"AT311",2017,"non_democ",1,1,0.311663892660149,"AT31"
"250","Austria","AT","Innviertel",3,"AT311",2017,"populist",1,1,0.311663892660149,"AT31"
"251","Austria","AT","Innviertel",3,"AT311",2019,"eurosceptic",1,1,0.211667783468147,"AT31"
"252","Austria","AT","Innviertel",3,"AT311",2019,"farright",1,1,0.211667783468147,"AT31"
"253","Austria","AT","Innviertel",3,"AT311",2019,"non_democ",0,5,0.772926338965204,"AT31"
"254","Austria","AT","Innviertel",3,"AT311",2019,"non_democ",1,1,0.211667783468147,"AT31"
"255","Austria","AT","Innviertel",3,"AT311",2019,"populist",1,1,0.211667783468147,"AT31"
"256","Austria","AT","Klagenfurt-Villach",3,"AT211",1990,"eurosceptic",1,1,0.30330368182855,"AT21"
"257","Austria","AT","Klagenfurt-Villach",3,"AT211",1990,"farright",1,1,0.30330368182855,"AT21"
"258","Austria","AT","Klagenfurt-Villach",3,"AT211",1990,"non_democ",0,5,0.668551397942402,"AT21"
"259","Austria","AT","Klagenfurt-Villach",3,"AT211",1990,"non_democ",1,1,0.30330368182855,"AT21"
"260","Austria","AT","Klagenfurt-Villach",3,"AT211",1990,"populist",1,1,0.30330368182855,"AT21"
"261","Austria","AT","Klagenfurt-Villach",3,"AT211",1994,"eurosceptic",1,1,0.337427512366487,"AT21"
"262","Austria","AT","Klagenfurt-Villach",3,"AT211",1994,"farright",1,1,0.337427512366487,"AT21"
"263","Austria","AT","Klagenfurt-Villach",3,"AT211",1994,"non_democ",0,5,0.642534258075348,"AT21"
"264","Austria","AT","Klagenfurt-Villach",3,"AT211",1994,"non_democ",1,1,0.337427512366487,"AT21"
"265","Austria","AT","Klagenfurt-Villach",3,"AT211",1994,"populist",1,1,0.337427512366487,"AT21"
